IATA,Terminal
GIZ,Africa Airlines
GLL,Air Gemini
GLT,Aero Charter
GME,Aguilas Mayas Internacional
GMM,Aerotaxis Guamuchil
GMS,Aeroservicios Gama
GNT,Amber Air
GOA,Alberta Government
GRE,Air Scotland
GRG,Air Georgia
GRI,Air Cargo Center
GRL,Air Greenland
GRO,Allegro
GRR,Agroar - Trabalhos Aereos
GRX,Aircompany Grodno
GSP,Airlift Alaska
GSV,Agrocentr-Avia
GTC,Altin Havayolu Tasimaciligi Turizm Ve Ticaret
GTI,Atlas Air
GTP,Aerotaxi Grupo Tampico
GUA,Aerotaxis de Aguascalientes
GUY,Air Guyane
GVI,Air Victoria Georgia
HAD,Air D'Ayiti
HAH,Air Comores International
HAT,Air Taxi
HEI,Aerohein
HGH,Atlantic Air Lift
HHA,Atlantic Airlines de Honduras
HID,Aviacion Ejecutiva De Hildago
HJA,Air Haiti
HJT,Al Rais Cargo
HKH,Air-Invest
HMA,Air Tahoma
HMT,Air Nova
HOM,Aero Homex
HPO,Almiron Aviation
HQO,Avinor
HYR,Airlink Airways
HZT,Air Horizon
IAE,AC Insat-Aero
ICM,Air Inter Cameroun
IFI,Air Lift
IKM,Aero Survey
ILK,Aero Airline
IME,Airtime Charters
IMN,Aerotaxis Cimarron
INA,Aero International
ING,Aeroingenieria
INO,Aeroservicios Intergrados de Norte
IPL,Airpull Aviation
IRD,Arvand Airlines
IRH,Atlas Aviation Group
IRW,Aram Airline
IRX,Aria Tour
ITE,Aerotaxi
ITF,Avita-Servicos Aereos
ITO,Aero Citro
IVE,Air Executive
IWS,Aviainvest
JAB,Air Bagan
JAD,Aerojal
JAR,Airlink
JEE,Ambjek Air Services
UTX,Avfinity
JMR,Alexandair
JMX,Air Jamaica Express
JOA,Air Swift Aviation
JOB,Aerojobeni
JOL,Atyrau Air Ways
JPR,Aerosmith Aviation
JTS,Arrendamiento de Aviones Jets
JUA,Aero Juarez
JZA,Air Canada Jazz
KAA,Asia Aero Survey and Consulting Engineers
KAD,Air Kirovograd
KAM,Air Mach
KAV,Air Kufra
KEK,Arkhabay
KFK,Aero Charter Krifka
KFT,Air Kraft Mir
KGD,Air Concorde
KHH,Alexandria Airlines
KIE,Afit
KKB,Air South
KKK,Atlasjet
KLB,Air Mali International
KLZ,Aerokaluz
KOR,Air Koryo
KOY,Araiavia
KRE,AeroSucre
KRT,Air Kokshetau
KSI,Air Kissari
KTN,Aeronavigaciya
KVR,Alliance Avia
KYC,Av Atlantic
KZR,Air Astana
LAG,Aerovias De Lagos
LBC,Albanian Airlines
LBI,Albisa
LBW,Albatros Airways
LDG,Aerolineas Aereas Ejecutivas De Durango
LDL,Aerologic
LDN,Al-Donas Airlines
LDR,Aero Lider
LEM,Aleem
LET,Aerolineas Ejecutivas
LFA,Air Alfa
LFC,Aero Control Air
LGN,Aerolaguna
LHR,Al Ahram Aviation
LID,Alidaunia
LIE,Al-Dawood Air
LKP,American Aviation
LKS,Airlink Solutions
LKY,Air Solutions
LLR,Alliance Air
LMA,Aerolima
LML,Alamia Air
LMP,Air Plus Argentina
LMT,Almaty Aviation
LMX,Aerolineas Mexicanas J S
LMY,Air Almaty
LMZ,Air Almaty ZK
LNE,Aerolane
LNK,Airlink
LNT,Aerolineas Internacionales
LOK,Alok Air
LOU,Air Saint Louis
LPC,Alpine Aviation
LPV,Air Alps Aviation
LRO,Alrosa-Avia
LRW,Al Rida Airways
LSK,Aurela
LSM,Aerobusinessservice
LSR,Alsair
LTI,Aerotaxis Latinoamericanos
LUC,Alninati Aeronautics
LUR,Atlantis European Airways
LVN,Aliven
LVR,Aviavilsa
LXG,Air Luxor GB
LXR,Air Luxor
LYT,Apatas Air
LZP,Air Ban
LZR,Air Lazur
MAM,Aerodromo De La Mancha
MAU,Air Mauritius
MBA,Avag Air
